id	o_id	dcterms_title	pa_relurl	dcterms_creator	dcterms_type	pa_streetAddress	pa_streetName	pa_streetNumber	pa_seriesTitle	pa_access	ImageURL	media_link 1	media_link 2	media_link 3	media_link 4	media_link 5	dcterms_description	dcterms_identifier2	pa_access2	x	y
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/630	630	Untitled - (Dragon)	http://www.wall-therapy.com/daleast-3/daleast-untitled-dragon/	DALeast	mural paintings (visual works)				WALL\THERAPY 2011 Visual Intervention		https://public-art.dslab.digitalscholar.rochester.edu/files/original/38d8a97991fc22f8f148e65ac282f56cdd793d77.png	38d8a97991fc22f8f148e65ac282f56cdd793d77.png						slug:10322		-77.59131253	43.16511578
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/631	631	Untitled - (Sea Creatures)	http://www.wall-therapy.com/bile-2/bile-untitled-sea-creatures/	Bile	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/fb3b6c60c2299b5710cee1b01f46937199442789.png	fb3b6c60c2299b5710cee1b01f46937199442789.png						slug:10323		-77.60520186	43.14146007
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/632	632	Diamonds	http://www.wall-therapy.com/above/above-diamonds/	Above	mural paintings (visual works)				WALL\THERAPY 2014		https://public-art.dslab.digitalscholar.rochester.edu/files/original/0f53deb160d22a528bb130de1a49749afcd23cca.png	0f53deb160d22a528bb130de1a49749afcd23cca.png						slug:10324		-77.5868225	43.1639958
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/634	634	Untitled - (Patterned Rug)		Jessie & Katey	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/2db17d35e715fcd70a53b455fda42ae32bf634a3.png	2db17d35e715fcd70a53b455fda42ae32bf634a3.png						slug:10326		-77.61404157	43.19139094
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/635	635	Constant	http://www.wall-therapy.com/know-hope/know-hope-constant/	Know Hope	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/817ef4b6c9c8d83eabee9a43bfc0900dcf51732a.png	817ef4b6c9c8d83eabee9a43bfc0900dcf51732a.png						slug:10327		-77.61343002	43.19301401
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/637	637	Untitled - (Boy and Robot)	http://www.wall-therapy.com/pixel-pancho/pixel-pancho-untitled-boy-and-robot/	Pixel Pancho	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/c2fa690098301c5a0fc8779033f97ad14de05470.png	c2fa690098301c5a0fc8779033f97ad14de05470.png						slug:10329		-77.5714695	43.1565942
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/638	638	Port of Charlotte	http://www.wall-therapy.com/ecb/ecb-port-of-charlotte/	ECB	mural paintings (visual works)				WALL\THERAPY 2014		https://public-art.dslab.digitalscholar.rochester.edu/files/original/7c164c593b7fd57afce5565cb929a8579897f99a.png	7c164c593b7fd57afce5565cb929a8579897f99a.png						slug:10330		-77.6113272	43.2505715
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/639	639	Flower Power	http://www.wall-therapy.com/icy-and-sot/icy-and-sot-flower-power/	Icy and Sot	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/8a79e66dc88cfdbeb7b20e0e2e8cda0f84e977a9.png	8a79e66dc88cfdbeb7b20e0e2e8cda0f84e977a9.png						slug:10331		-77.58388281	43.15811845
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/640	640	Along the Way	http://www.wall-therapy.com/alice-pasquini-2/alice-pasquini-along-the-way/	Alice Pasquini	mural paintings (visual works)				WALL\THERAPY 2014		https://public-art.dslab.digitalscholar.rochester.edu/files/original/5fddb9383e7cd9d2091b8899d3af1f5a563634ec.png	5fddb9383e7cd9d2091b8899d3af1f5a563634ec.png						slug:10332		-77.60077	43.1656235
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/641	641	Kristina	http://www.wall-therapy.com/siloette-4/siloette-kristina/	Siloette	mural paintings (visual works)				WALL\THERAPY 2012		https://public-art.dslab.digitalscholar.rochester.edu/files/original/772c5b9eea3845dfbda10501e8d3fd30fd4f5632.png	772c5b9eea3845dfbda10501e8d3fd30fd4f5632.png						slug:10333		-77.6192665	43.1806405
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/642	642	Flex Your Power	http://www.wall-therapy.com/change/change-flex-your-power/	Change	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/d7a36cdddc4812e1d5ed53946530940781ed15cd.png	d7a36cdddc4812e1d5ed53946530940781ed15cd.png						slug:10334		-77.6141945	43.1930551
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/644	644	Untitled - (Stock Lives)	http://www.wall-therapy.com/thievin-stephen-4/thievin-stephen-stock-lives/	Thieven Stephen	mural paintings (visual works)				WALL\THERAPY 2012		https://public-art.dslab.digitalscholar.rochester.edu/files/original/69c6e865f8a440e188e857da69cba510a040a1bb.png	69c6e865f8a440e188e857da69cba510a040a1bb.png						slug:10336		-77.58876643	43.16617229
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/645	645	Armand	http://www.wall-therapy.com/john-perry-2/john-perry-armand/	John Perry	mural paintings (visual works)				WALL\THERAPY 2014		https://public-art.dslab.digitalscholar.rochester.edu/files/original/435b2352c6e6cc9a0c643590e5b97d4e966f2487.png	435b2352c6e6cc9a0c643590e5b97d4e966f2487.png						slug:10337		-77.5890622	43.1661272
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/646	646	Rhapsody	http://www.wall-therapy.com/faith47/faith47-rhapsody/	Faith47	mural paintings (visual works)				WALL\THERAPY 2012		https://public-art.dslab.digitalscholar.rochester.edu/files/original/3a83e3d575eff4ab9dd4d7c829e434024d0277f7.png	3a83e3d575eff4ab9dd4d7c829e434024d0277f7.png						slug:10338		-77.608039	43.158811
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/647	647	All That is Solid Melts into Air	http://www.wall-therapy.com/max-ripo/max-ripo-all-that-is-solid-melts-into-air/	Max Ripo	mural paintings (visual works)				WALL\THERAPY 2014 WRITES OF SPRING		https://public-art.dslab.digitalscholar.rochester.edu/files/original/e9dde48466a452125e65af357660ec08294739f7.png	e9dde48466a452125e65af357660ec08294739f7.png						slug:10339		-77.5715138	43.1574669
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/648	648	Untitled - ( Hidden Bird )	http://www.wall-therapy.com/daleast-3/daleast-untitled-hidden-bird/	DALeast	mural paintings (visual works)				WALL\THERAPY 2012		https://public-art.dslab.digitalscholar.rochester.edu/files/original/c430dbef22efac5e458bc7fcf06862916d97fc40.png	c430dbef22efac5e458bc7fcf06862916d97fc40.png	1602663cf4e246f8310b727eb7f81f5a2d3e5a7b.png					slug:10340		-77.609375	43.1593
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/649	649	Untitled - (Owl)	http://www.wall-therapy.com/binho-2/binho-untitled-owl/	Binho	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/9ddaddcf56f02ccc0787b9edad023ac585ea0ca1.png	9ddaddcf56f02ccc0787b9edad023ac585ea0ca1.png						slug:10341		-77.59683654	43.15740038
